timestamp,core_id,sample_id,depth_top_cm,depth_bottom_cm,depth_mid_cm,penetration_force_n,drill_current_a,rotation_speed_rpm,regolith_temp_c,bulk_density_g_cm3,sample_mass_g,grain_size_median_um,cohesion_kpa,moisture_percent,volatile_flag,rock_fragment_percent,sample_quality,confidence
2026-06-29T12:00:00,core_01,core_01_0000,0,1,0.5,34.77,1.182,119.1,-41.78,1.421,7.889,77.4,0.291,0,none,4.3,good,0.902
2026-06-29T12:00:01,core_01,core_01_0001,1,2,1.5,38.79,1.304,117.3,-41.68,1.44,7.373,70.3,0.567,0,none,2.34,good,0.956
2026-06-29T12:00:02,core_01,core_01_0002,2,3,2.5,52.82,1.307,113.9,-41.59,1.469,7.388,76.6,0.582,0,none,7.68,good,0.951
2026-06-29T12:00:03,core_01,core_01_0003,3,4,3.5,52.89,1.439,116.4,-40.87,1.506,8.825,70.2,0.684,0,none,3.64,good,0.916
2026-06-29T12:00:04,core_01,core_01_0004,4,5,4.5,52.41,1.404,115.8,-41.38,1.513,8.244,65.4,0.619,0,none,5.5,good,0.966
2026-06-29T12:00:05,core_01,core_01_0005,5,6,5.5,64.88,1.439,113.6,-40.74,1.526,9.457,72.0,0.789,0,none,8.54,good,0.959
2026-06-29T12:00:06,core_01,core_01_0006,6,7,6.5,64.85,1.51,111.9,-40.83,1.534,9.595,77.8,0.795,0,none,8.9,good,0.928
2026-06-29T12:00:07,core_01,core_01_0007,7,8,7.5,68.96,1.61,111.6,-40.43,1.571,9.235,78.4,0.892,0,none,6.82,good,0.97
2026-06-29T12:00:08,core_01,core_01_0008,8,9,8.5,72.25,1.674,114.1,-40.51,1.572,9.189,58.6,0.96,0,none,12.01,good,0.937
2026-06-29T12:00:09,core_01,core_01_0009,9,10,9.5,84.52,1.736,111.9,-39.68,1.588,9.154,72.5,0.958,0,none,9.18,good,0.932
2026-06-29T12:00:10,core_01,core_01_0010,10,11,10.5,86.81,1.709,113.5,-39.46,1.627,10.333,64.4,1.179,0,none,10.75,good,0.911
2026-06-29T12:00:11,core_01,core_01_0011,11,12,11.5,92.1,1.733,109.3,-39.52,1.687,9.184,79.7,1.319,0,none,12.62,good,0.922
2026-06-29T12:00:12,core_01,core_01_0012,12,13,12.5,91.69,1.864,107.1,-39.03,1.719,10.584,75.9,1.183,0,none,11.02,good,0.938
2026-06-29T12:00:13,core_01,core_01_0013,13,14,13.5,98.14,1.926,110.4,-38.82,1.696,9.902,65.2,1.499,0,none,12.6,good,0.931
2026-06-29T12:00:14,core_01,core_01_0014,14,15,14.5,104.59,1.987,106.7,-39.21,1.699,10.146,59.5,1.47,0,none,10.61,good,0.963
2026-06-29T12:00:15,core_01,core_01_0015,14,15,14.5,108.56,1.928,106.1,-39.25,1.7,11.29,71.6,1.426,0,none,13.94,partial,0.777
2026-06-29T12:00:16,core_01,core_01_0016,0,1,0.5,36.55,1.221,119.0,-42.22,1.454,7.884,81.7,0.294,0,none,4.18,good,0.924
2026-06-29T12:00:17,core_01,core_01_0017,1,2,1.5,41.78,1.268,115.7,-41.88,1.453,7.42,80.3,0.464,0,none,7.47,good,0.939
