timestamp,temp_c,humidity_pct,pressure_hpa,abs_470nm,abs_850nm,scattering_m1,pm25_ug_m3,cosmic_rad_usv_h,ec_ms_cm,sensor_voltage_v,gps_lat,gps_lon
2026-06-29T12:00:00,-178.0,0.0,0.0,0.0001,0.0008,0.0035,2.14,56.8,0.015,5.022,-52.992932,-168.984313
2026-06-29T12:00:02,-178.0,0.0,0.0,0.0017,0.0001,0.0061,3.42,56.58,0.0106,4.997,-53.018939,-169.012046
2026-06-29T12:00:04,-178.0,0.0,0.0,0.0022,0.0007,0.0076,4.18,57.94,0.0164,5.055,-53.01974,-168.987767
2026-06-29T12:00:06,-178.0,0.0,0.0,0.0014,0.0005,0.0056,2.55,57.11,0.0074,5.008,-53.01629,-169.016131
2026-06-29T12:00:08,-178.0,0.0,0.0,0.0024,0.0024,0.0026,1.12,57.45,0.0112,5.02,-52.981075,-169.004859
2026-06-29T12:00:10,-178.0,0.0,0.0,0.0033,0.0019,0.0026,0.8,57.88,0.012,5.015,-52.991817,-169.018167
2026-06-29T12:00:12,-178.0,0.0,0.0,0.0012,0.0002,0.0052,2.93,59.57,0.0029,5.023,-53.008881,-168.994573
2026-06-29T12:00:14,-178.0,0.0,0.0,0.0015,0.0006,0.0026,1.41,57.87,0.0188,5.052,-52.994079,-168.995635
2026-06-29T12:00:16,-178.0,0.0,0.0,0.0029,0.0005,0.0024,1.05,58.39,0.0198,5.028,-52.9944,-168.997722
2026-06-29T12:00:18,-178.0,0.0,0.0,0.0034,0.0023,0.0059,3.59,59.85,0.0016,5.023,-53.007382,-169.00929
2026-06-29T12:00:20,-178.0,0.0,0.0,0.0038,0.0026,0.0041,2.17,59.02,0.0135,5.052,-53.004175,-168.983418
2026-06-29T12:00:22,-178.0,0.0,0.0,0.0011,0.0007,0.0038,1.83,53.99,0.006,5.043,-52.996617,-168.984087
2026-06-29T12:00:24,-178.0,0.0,0.0,0.0009,0.003,0.0055,2.9,58.35,0.0027,4.99,-53.018115,-169.015614
2026-06-29T12:00:26,-178.0,0.0,0.0,0.0032,0.0013,0.0005,0.52,57.62,0.0083,5.001,-52.980155,-168.998835
2026-06-29T12:00:28,-178.0,0.0,0.0,0.0034,0.0,0.0032,1.53,58.09,0.014,5.032,-52.998521,-169.009327
2026-06-29T12:00:30,-178.0,0.0,0.0,0.0004,0.0013,0.0043,2.35,57.72,0.0191,5.023,-52.984966,-169.009464
2026-06-29T12:00:32,-178.0,0.0,0.0,0.0007,0.0027,0.0047,2.01,57.98,0.0067,5.007,-52.994442,-168.995641
2026-06-29T12:00:34,-178.0,0.0,0.0,0.0031,0.0016,0.0043,1.7,57.0,0.0111,5.034,-53.019977,-169.007034
2026-06-29T12:00:36,-178.0,0.0,0.0,0.0037,0.0026,0.0035,1.13,55.71,0.0068,5.011,-53.017683,-168.98488
2026-06-29T12:00:38,-178.0,0.0,0.0,0.0003,0.0015,0.0022,1.73,57.72,0.0155,5.019,-52.989367,-169.014864
2026-06-29T12:00:40,-178.0,0.0,0.0,0.0022,0.0008,0.0023,0.56,55.36,0.009,5.003,-53.011528,-168.998428
2026-06-29T12:00:42,-178.0,0.0,0.0,0.0008,0.0009,0.004,1.59,57.27,0.0133,5.03,-53.002476,-168.999297
2026-06-29T12:00:44,-178.0,0.0,0.0,0.0009,0.001,0.004,1.73,59.56,0.0054,5.021,-53.011191,-169.01716
