timestamp,temp_c,humidity_pct,pressure_hpa,abs_470nm,abs_850nm,scattering_m1,pm25_ug_m3,cosmic_rad_usv_h,ec_ms_cm,sensor_voltage_v,gps_lat,gps_lon
2026-06-29T12:00:00,22.814,42.86,990.45,0.1167,0.0819,0.056,10.43,0.0575,0.8386,3.217,40.8672,-72.8827
2026-06-29T12:00:02,22.519,42.87,982.73,0.1218,0.0804,0.0536,10.28,0.0551,0.9071,3.376,40.8672035,-72.8826994
2026-06-29T12:00:04,22.154,43.44,1059.58,0.1181,0.0768,0.053,10.85,0.0598,0.9007,3.322,40.867207,-72.8826989
2026-06-29T12:00:06,23.586,44.44,1018.52,0.124,0.081,0.0573,10.14,0.0554,0.8567,3.24,40.8672105,-72.8826983
2026-06-29T12:00:08,21.581,43.78,972.82,0.1174,0.0811,0.0547,9.04,0.0567,0.9194,3.359,40.867214,-72.8826978
2026-06-29T12:00:10,22.781,43.5,1036.46,0.1161,0.0791,0.0582,10.18,0.0591,0.9113,3.401,40.8672175,-72.8826972
2026-06-29T12:00:12,21.931,42.87,994.55,0.1173,0.0778,0.0581,10.63,0.0589,0.8721,3.447,40.8672209,-72.8826967
2026-06-29T12:00:14,22.456,43.91,987.57,0.1209,0.0782,0.0562,10.78,0.0564,0.9254,3.313,40.8672244,-72.8826961
2026-06-29T12:00:16,21.633,42.93,973.69,0.1217,0.0824,0.0554,8.29,0.0609,0.8843,3.466,40.8672279,-72.8826956
2026-06-29T12:00:18,23.377,42.76,1035.61,0.1224,0.0804,0.0546,9.73,0.0577,0.8779,3.46,40.8672314,-72.882695
2026-06-29T12:00:20,23.418,43.89,1013.3,0.1164,0.0834,0.0581,9.22,0.0587,0.8516,3.397,40.8672349,-72.8826944
2026-06-29T12:00:22,22.666,46.2,1016.32,0.1142,0.0787,0.0535,11.4,0.06,0.8655,3.164,40.8672384,-72.8826939
2026-06-29T12:00:24,23.437,46.96,971.26,0.1201,0.0767,0.0577,10.11,0.0579,0.8871,3.232,40.8672419,-72.8826933
2026-06-29T12:00:26,23.432,44.6,984.04,0.1208,0.082,0.0547,9.59,0.059,0.8774,3.316,40.8672454,-72.8826928
