timestamp,track_id,object_class,x_m,y_m,z_m,distance_m,azimuth_deg,elevation_deg,bbox_length_m,bbox_width_m,bbox_height_m,point_count,mean_intensity,occlusion,confidence
2026-06-29T12:00:00,2014,bicycle,-56.61,-27.23,2.25,62.86,-154.31,2.05,1.45,0.76,0.91,96,0.509,none,0.57
2026-06-29T12:00:00,2002,bicycle,-10.68,-31.78,1.27,33.56,-108.58,2.16,1.62,0.67,1.01,39,0.497,partial,0.45
2026-06-29T12:00:00,2003,bicycle,-0.04,19.4,1.04,19.42,90.13,3.06,1.4,0.64,1.25,186,0.481,none,0.6
2026-06-29T12:00:00,2004,vehicle,-42.42,-43.9,-0.08,61.05,-134.01,-0.08,4.16,2.15,1.83,434,0.281,none,0.57
2026-06-29T12:00:00,2005,person,13.37,33.18,-0.17,35.77,68.06,-0.27,0.56,0.6,1.72,108,0.449,none,0.52
2026-06-29T12:00:00,2008,person,-24.76,-28.21,1.44,37.56,-131.28,2.19,0.77,0.6,1.45,44,0.252,none,0.45
2026-06-29T12:00:00,2013,person,-59.51,-1.71,1.44,59.56,-178.36,1.39,0.6,0.48,1.42,129,0.303,none,0.45
2026-06-29T12:00:01,2006,person,-7.95,-6.75,1.79,10.59,-139.67,9.73,0.53,0.63,1.41,97,0.665,none,0.73
2026-06-29T12:00:01,2010,unknown,-48.32,25.45,-0.14,54.62,152.22,-0.15,1.93,1.55,0.61,19,0.74,partial,0.6
2026-06-29T12:00:01,2015,vehicle,-0.45,23.46,0.52,23.47,91.11,1.27,4.75,1.93,1.31,874,0.587,none,0.99
2026-06-29T12:00:01,2001,person,6.09,60.06,-0.1,60.36,84.21,-0.1,0.46,0.66,1.55,142,0.553,partial,0.5
2026-06-29T12:00:01,2002,bicycle,-10.34,-31.52,1.29,33.19,-108.17,2.23,1.78,0.64,1.3,170,0.66,partial,0.62
2026-06-29T12:00:01,2011,unknown,49.49,33.9,1.5,60.0,34.41,1.43,0.44,1.41,1.41,163,0.45,none,0.56
2026-06-29T12:00:01,2013,person,-58.71,-1.42,1.43,58.74,-178.61,1.4,0.54,0.44,1.65,67,0.426,none,0.47
2026-06-29T12:00:02,2009,person,15.65,-16.48,2.39,22.86,-46.48,6.01,0.57,0.43,1.43,52,0.503,none,0.54
2026-06-29T12:00:02,2015,vehicle,-0.93,23.53,0.52,23.55,92.27,1.27,3.5,2.13,1.37,442,0.7,partial,0.84
2026-06-29T12:00:02,2003,bicycle,0.68,19.82,1.06,19.86,88.04,3.06,1.87,0.56,1.11,186,0.869,none,0.99
2026-06-29T12:00:02,2001,person,5.21,60.88,-0.12,61.1,85.11,-0.11,0.49,0.44,1.64,61,0.358,heavy,0.45
2026-06-29T12:00:02,2011,unknown,49.05,33.93,1.52,59.66,34.67,1.46,1.47,1.46,0.88,69,0.137,none,0.45
2026-06-29T12:00:02,2010,unknown,-47.82,24.76,-0.14,53.85,152.62,-0.14,2.47,0.49,2.29,10,0.695,none,0.7
2026-06-29T12:00:02,2004,vehicle,-41.83,-44.3,-0.1,60.93,-133.36,-0.1,4.6,1.78,1.54,370,0.281,heavy,0.45
2026-06-29T12:00:02,2013,person,-57.92,-0.97,1.46,57.95,-179.04,1.45,0.42,0.35,1.53,26,0.427,partial,0.45
2026-06-29T12:00:03,2009,person,16.32,-16.54,2.41,23.36,-45.39,5.92,0.52,0.65,1.61,32,0.636,partial,0.51
2026-06-29T12:00:03,2006,person,-7.98,-6.87,1.78,10.68,-139.25,9.58,0.5,0.61,1.76,56,0.855,none,0.89
2026-06-29T12:00:03,2004,vehicle,-41.42,-44.94,-0.12,61.11,-132.67,-0.11,3.87,1.8,2.3,763,0.488,none,0.99
2026-06-29T12:00:03,2007,cart,-4.95,64.65,1.79,64.86,94.38,1.58,0.92,0.62,1.01,92,0.628,none,0.69
2026-06-29T12:00:03,2008,person,-25.33,-28.49,1.44,38.15,-131.64,2.17,0.36,0.5,1.53,25,0.49,none,0.51
2026-06-29T12:00:03,2012,person,32.21,-26.43,0.76,41.67,-39.37,1.05,0.64,0.62,1.96,57,0.576,none,0.61
2026-06-29T12:00:03,2015,vehicle,-1.34,23.53,0.53,23.57,93.25,1.29,3.79,1.9,2.17,587,0.643,none,0.99
2026-06-29T12:00:03,2010,unknown,-47.35,23.96,-0.12,53.07,153.17,-0.13,0.75,2.12,0.98,74,0.305,partial,0.45
2026-06-29T12:00:03,2005,person,12.85,32.88,-0.18,35.3,68.65,-0.29,0.36,0.63,1.81,127,0.488,none,0.57
2026-06-29T12:00:04,2012,person,32.6,-26.57,0.77,42.06,-39.17,1.05,0.78,0.53,1.66,141,0.425,partial,0.45
2026-06-29T12:00:04,2004,vehicle,-40.79,-45.42,-0.1,61.05,-131.92,-0.09,4.9,2.24,1.63,370,0.359,none,0.61
