timestamp,mission_elapsed_s,track_id,target_class,x_m,y_m,z_m,range_m,azimuth_deg,elevation_deg,bbox_length_m,bbox_width_m,bbox_height_m,point_count,mean_intensity,return_strength,surface_slope_deg,regolith_dust_backscatter,shadow_fraction,roughness_index,hazard_score,confidence
2026-06-29T12:00:00,0,5104,small_rock,43.43,-72.46,-26.09,88.41,-59.06,-17.17,0.23,0.2,0.15,20,68.0,0.276,7.0,0.152,0.291,0.42,0.211,0.42
2026-06-29T12:00:00,0,5106,regolith_mound,9.32,-2.98,2.13,10.02,-17.72,12.29,3.25,2.3,0.44,1262,64.3,0.304,9.3,0.152,0.406,0.375,0.231,0.99
2026-06-29T12:00:00,0,5102,regolith_mound,108.74,-25.57,-33.95,116.75,-13.23,-16.91,1.95,1.79,0.98,24,24.2,0.114,23.2,0.152,0.451,0.316,0.352,0.36
2026-06-29T12:00:00,0,5122,small_rock,4.75,6.25,2.93,8.38,52.79,20.44,0.38,0.18,0.21,30,90.7,0.352,10.3,0.152,0.053,0.27,0.188,0.48
2026-06-29T12:00:00,0,5114,shadow_edge,96.15,34.67,9.55,102.66,19.83,5.34,7.85,0.57,0.07,52,0,0,0,0.152,0.82,0.105,0.041,0.3
2026-06-29T12:00:01,1,5102,crater_rim,-130.75,49.53,-43.92,146.55,159.25,-17.44,9.18,2.74,1.41,110,62.3,0.288,17.9,0.416,0.327,0.392,0.545,0.42
2026-06-29T12:00:01,1,5107,small_rock,-12.03,-11.97,-2.41,17.14,-135.14,-8.07,0.28,0.18,0.29,3,72.6,0.3,18.9,0.416,0.428,0.645,0.391,0.33
2026-06-29T12:00:01,1,5113,small_rock,96.42,29.82,34.31,106.6,17.18,18.78,0.19,0.44,0.21,6,110.6,0.383,0,0.416,0.488,0.249,0.1,0.34
2026-06-29T12:00:01,1,5115,boulder,57.37,2.36,-5.76,57.71,2.35,-5.73,2.04,0.84,1.56,47,84.1,0.338,0,0.416,0.043,0.589,0.484,0.43
2026-06-29T12:00:01,1,5114,equipment,60.6,106.78,-10.89,123.26,60.42,-5.07,2.24,1.38,0.47,21,0,0.009,20.5,0.416,0.579,0.326,0.303,0.26
2026-06-29T12:00:01,1,5105,unknown,34.92,-122.06,-41.12,133.45,-74.04,-17.95,3.72,2.6,0.37,49,78.8,0.267,15.8,0.416,0.247,0.723,0.399,0.38
2026-06-29T12:00:02,2,5123,regolith_mound,-64.12,-47.28,18.97,81.89,-143.59,13.39,3.98,2.08,0.4,76,95.8,0.344,10.4,0.281,0.16,0.059,0.127,0.46
2026-06-29T12:00:02,2,5118,boulder,120.55,-71.8,34.11,144.4,-30.78,13.66,3.51,2.72,1.44,16,82.9,0.329,7.3,0.281,0.133,0.511,0.505,0.42
