timestamp,mission_elapsed_s,track_id,target_class,range_m,azimuth_deg,elevation_deg,local_solar_incidence_deg,illumination_condition,estimated_surface_temp_c,background_temp_c,thermal_contrast_c,emissivity_estimate,thermal_inertia_proxy,hotspot_area_m2,cold_shadow_fraction,image_x_px,image_y_px,bbox_width_px,bbox_height_px,netd_mk,confidence
2026-06-29T12:00:00,0,6118,boulder,108.48,11.7,12.17,20.7,direct_sun,54.72,97.07,-42.35,0.913,0.224,1.694,0.427,545,221,6,10,105.1,0.54
2026-06-29T12:00:00,0,6113,crater_floor,74.23,-122.81,32.12,20.7,direct_sun,72.18,97.07,-24.89,0.962,0.21,0.525,0.309,162,164,3,4,35.4,0.4
2026-06-29T12:00:00,0,6120,crater_floor,79.28,-132.62,-11.61,20.7,direct_sun,64.93,97.07,-32.14,0.932,0.22,0.138,0.389,134,289,3,3,35.6,0.42
2026-06-29T12:00:00,0,6117,equipment,28.2,142.69,18.06,20.7,direct_sun,92.52,97.07,-4.55,0.792,0.213,3.29,0.35,917,204,48,61,49.3,0.5
2026-06-29T12:00:00,0,6112,crater_floor,54.94,-103.63,1.81,20.7,direct_sun,93.01,97.07,-4.06,0.98,0.138,5.684,0.031,217,250,43,41,94.5,0.35
2026-06-29T12:00:01,1,6123,regolith_mound,101.56,65.24,14.09,18.9,low_sun,9.04,12.2,-3.16,0.896,0.228,1.877,0.128,697,215,7,10,105.8,0.25
2026-06-29T12:00:01,1,6120,small_rock,62.75,156.64,-6.02,18.9,low_sun,33.16,12.2,20.96,0.907,0.844,4.44,0.04,957,273,29,26,43.7,0.43
2026-06-29T12:00:01,1,6122,unknown,68.41,105.52,17.1,18.9,low_sun,-31.56,12.2,-43.76,0.771,0.141,3.614,0.554,812,207,22,28,57.2,0.5
2026-06-29T12:00:01,1,6106,crater_rim,77.55,25.98,-11.35,18.9,low_sun,21.16,12.2,8.96,0.91,0.173,0.167,0.109,585,288,3,4,43.9,0.32
2026-06-29T12:00:01,1,6109,shadow_edge,61.54,84.55,13.67,18.9,low_sun,-12.51,12.2,-24.71,0.959,0.348,2.747,0.303,752,217,18,20,43.4,0.43
2026-06-29T12:00:01,1,6105,boulder,24.33,78.57,10.55,18.9,low_sun,-12.4,12.2,-24.6,0.929,0.588,2.962,0.324,735,225,51,66,45.8,0.63
2026-06-29T12:00:01,1,6101,regolith_mound,23.48,49.79,-6.29,18.9,low_sun,-4.97,12.2,-17.17,0.942,0.635,2.889,0.447,653,273,51,60,82.8,0.45
2026-06-29T12:00:02,2,6114,small_rock,60.17,161.87,0.54,18.4,low_sun,-38.35,8.72,-47.07,0.896,0.263,3.493,0.666,972,254,24,41,77.4,0.53
2026-06-29T12:00:02,2,6118,shadow_edge,77.9,-163.53,5.92,18.4,low_sun,-22.3,8.72,-31.02,0.946,0.524,4.772,0.541,46,239,25,35,52.1,0.41
2026-06-29T12:00:02,2,6122,small_rock,71.04,5.36,15.17,18.4,low_sun,-21.45,8.72,-30.17,0.847,0.674,3.716,0.469,527,212,21,33,103.3,0.42
2026-06-29T12:00:02,2,6115,equipment,71.1,117.16,6.65,18.4,low_sun,-8.87,8.72,-17.59,0.747,0.279,3.978,0.212,845,237,23,20,40.3,0.49
2026-06-29T12:00:02,2,6103,rover_track,82.07,142.55,10.07,18.4,low_sun,0.23,8.72,-8.49,0.896,0.604,4.752,0.194,917,227,24,18,101.1,0.3
2026-06-29T12:00:02,2,6111,crater_floor,25.82,-55.61,-10.07,18.4,low_sun,14.09,8.72,5.37,0.912,0.286,5.923,0.051,353,284,96,157,97.5,0.42
2026-06-29T12:00:02,2,6121,boulder,74.61,-11.0,23.95,18.4,low_sun,-21.89,8.72,-30.61,0.933,0.098,3.193,0.342,480,187,17,15,103.5,0.55
2026-06-29T12:00:02,2,6101,small_rock,100.59,142.44,4.27,18.4,low_sun,9.71,8.72,0.99,0.84,0.301,7.057,0.079,917,243,29,39,98.0,0.25
2026-06-29T12:00:03,3,6122,regolith_mound,7.29,-149.06,22.38,17.5,low_sun,12.41,25.98,-13.57,0.947,0.179,3.945,0.365,88,192,227,151,47.7,0.48
2026-06-29T12:00:03,3,6103,crater_floor,40.57,54.22,15.13,17.5,low_sun,-5.46,25.98,-31.44,0.952,0.27,3.821,0.344,666,212,39,61,90.8,0.51
2026-06-29T12:00:03,3,6109,boulder,71.97,42.7,5.49,17.5,low_sun,9.2,25.98,-16.78,0.877,0.073,3.264,0.156,633,240,19,34,38.0,0.49
2026-06-29T12:00:03,3,6114,small_rock,5.58,-96.88,30.18,17.5,low_sun,-8.13,25.98,-34.11,0.932,0.082,4.716,0.494,236,170,320,260,52.2,0.59
2026-06-29T12:00:03,3,6106,regolith_mound,108.57,125.63,17.4,17.5,low_sun,14.45,25.98,-11.53,0.919,0.454,4.622,0.236,869,206,17,31,46.8,0.25
2026-06-29T12:00:03,3,6101,small_rock,62.08,177.32,29.76,17.5,low_sun,7.3,25.98,-18.68,0.946,0.463,0.693,0.3,1016,171,4,5,48.3,0.39
2026-06-29T12:00:04,4,6117,boulder,16.13,-59.32,7.54,18.5,low_sun,-25.54,-11.11,-14.43,0.867,0.241,4.216,0.155,343,234,109,125,48.6,0.6
2026-06-29T12:00:04,4,6109,unknown,77.7,-58.2,-16.55,18.5,low_sun,-17.44,-11.11,-6.32,0.818,0.818,5.019,0.079,346,303,27,42,79.7,0.31
2026-06-29T12:00:04,4,6114,regolith_mound,13.37,-26.93,29.54,18.5,low_sun,-37.23,-11.11,-26.11,0.902,0.256,0.455,0.549,435,171,14,14,75.2,0.52
2026-06-29T12:00:04,4,6108,crater_rim,72.69,123.88,-14.43,18.5,low_sun,-15.86,-11.11,-4.75,0.96,0.397,2.63,0.19,864,297,15,11,83.8,0.3
2026-06-29T12:00:04,4,6121,boulder,107.87,60.21,33.63,18.5,low_sun,-33.73,-11.11,-22.61,0.931,0.709,0.163,0.386,683,160,3,3,94.1,0.42
2026-06-29T12:00:04,4,6118,crater_rim,84.06,9.57,12.39,18.5,low_sun,-29.88,-11.11,-18.76,0.901,0.403,4.449,0.419,539,220,22,22,93.0,0.33
2026-06-29T12:00:04,4,6105,regolith_mound,41.19,116.78,-2.7,18.5,low_sun,-17.41,-11.11,-6.29,0.966,0.644,0.037,0.081,844,263,3,5,104.8,0.39
2026-06-29T12:00:04,4,6112,crater_rim,72.53,-122.32,14.15,18.5,low_sun,-14.12,-11.11,-3.0,0.958,0.476,5.184,0.051,164,215,30,45,56.6,0.3
2026-06-29T12:00:04,4,6113,small_rock,62.42,-175.28,16.69,18.5,low_sun,-27.71,-11.11,-16.6,0.874,0.089,4.646,0.015,13,208,31,49,49.3,0.41
2026-06-29T12:00:04,4,6110,boulder,6.66,-146.8,-11.96,18.5,low_sun,-22.71,-11.11,-11.6,0.926,0.386,2.395,0.391,94,290,150,182,64.4,0.58
2026-06-29T12:00:04,4,6119,small_rock,26.47,103.35,28.82,18.5,low_sun,-46.59,-11.11,-35.47,0.88,0.349,0.355,0.58,805,174,5,6,40.8,0.54
2026-06-29T12:00:05,5,6123,boulder,52.07,-35.31,-12.72,17.4,low_sun,7.2,20.53,-13.32,0.946,0.643,0.438,0.379,411,292,3,3,86.0,0.49
