timestamp,track_id,object_class,range_m,azimuth_deg,elevation_deg,radial_velocity_mps,rcs_dbsm,snr_db,confidence
2026-06-29T12:00:00,1002,person,89.27,16.33,7.71,-14.05,-11.3,14.3,0.5
2026-06-29T12:00:00,1001,vehicle,68.01,77.77,11.04,-2.41,3.0,15.5,0.5
2026-06-29T12:00:00,1005,unknown,91.42,-122.52,2.68,-6.66,-6.4,28.6,0.82
2026-06-29T12:00:00,1004,person,46.52,-50.77,0.32,-7.06,-13.3,20.4,0.58
2026-06-29T12:00:00,1009,person,110.79,-151.63,-1.2,3.86,20.4,17.8,0.51
2026-06-29T12:00:00,1012,person,9.74,58.05,13.19,14.56,19.2,31.4,0.9
2026-06-29T12:00:00,1006,person,55.23,120.28,-5.12,-4.34,11.8,26.9,0.77
2026-06-29T12:00:01,1011,person,118.76,50.4,6.71,5.54,18.7,29.0,0.83
2026-06-29T12:00:01,1002,person,5.3,-66.44,-1.97,-8.67,22.7,31.7,0.91
2026-06-29T12:00:01,1010,person,79.17,-37.57,17.44,-1.23,-4.4,14.7,0.5
2026-06-29T12:00:01,1003,vehicle,32.63,30.45,16.93,-3.02,-6.2,34.9,0.99
2026-06-29T12:00:01,1004,vehicle,12.27,-163.04,-6.71,3.82,16.7,19.4,0.55
2026-06-29T12:00:01,1012,person,46.72,178.6,5.87,14.13,19.4,8.3,0.5
2026-06-29T12:00:01,1008,bicycle,82.28,13.31,-2.0,4.23,-10.5,19.7,0.56
2026-06-29T12:00:02,1001,unknown,36.87,50.02,8.27,-10.41,15.5,22.6,0.65
2026-06-29T12:00:02,1005,drone,64.35,-179.79,-0.28,-14.42,22.2,31.7,0.91
2026-06-29T12:00:02,1009,unknown,37.94,-159.15,16.34,13.41,-11.6,21.1,0.6
2026-06-29T12:00:02,1003,person,91.63,95.7,-6.15,-0.74,7.0,15.2,0.5
2026-06-29T12:00:02,1002,unknown,51.64,-103.75,6.18,6.9,-7.0,16.4,0.5
2026-06-29T12:00:03,1011,person,41.56,31.79,-3.1,-8.39,-12.2,25.0,0.71
2026-06-29T12:00:03,1006,person,108.79,129.47,-7.87,-7.86,11.8,13.8,0.5
2026-06-29T12:00:03,1008,person,112.36,25.58,4.18,8.54,17.3,13.1,0.5
2026-06-29T12:00:03,1009,person,52.58,-27.51,4.01,6.87,11.9,34.6,0.99
2026-06-29T12:00:03,1010,person,49.21,-57.85,15.85,-7.54,-7.4,20.1,0.57
2026-06-29T12:00:03,1001,person,34.51,-90.07,17.7,-1.71,19.5,22.9,0.65
2026-06-29T12:00:03,1002,person,119.91,120.97,19.07,12.79,18.9,12.5,0.5
2026-06-29T12:00:04,1008,person,118.26,-84.53,13.52,-1.35,1.9,33.8,0.97
2026-06-29T12:00:04,1004,unknown,67.36,78.63,-5.36,-6.1,23.7,23.6,0.67
2026-06-29T12:00:04,1007,vehicle,90.14,-159.42,7.53,0.09,19.1,12.3,0.5
2026-06-29T12:00:04,1001,unknown,10.99,-113.1,7.85,5.26,-5.6,11.2,0.5
2026-06-29T12:00:04,1003,unknown,30.68,34.03,8.58,-2.42,8.3,22.1,0.63
2026-06-29T12:00:05,1004,person,17.01,52.38,3.72,12.87,22.4,8.3,0.5
2026-06-29T12:00:05,1011,vehicle,68.21,-144.01,6.13,0.18,-9.7,17.4,0.5
2026-06-29T12:00:05,1006,person,30.45,-77.4,3.15,1.3,-2.9,34.6,0.99
2026-06-29T12:00:05,1012,unknown,64.18,60.43,6.64,12.95,-10.9,31.7,0.91
2026-06-29T12:00:06,1002,person,73.17,78.34,-3.89,4.03,-4.4,21.2,0.61
2026-06-29T12:00:06,1012,unknown,101.76,-146.77,2.71,-6.7,-14.9,28.8,0.82
2026-06-29T12:00:06,1009,vehicle,32.54,86.84,6.55,-2.17,-14.6,10.0,0.5
2026-06-29T12:00:06,1003,unknown,108.62,16.41,15.04,2.48,-9.1,11.4,0.5
2026-06-29T12:00:07,1006,bicycle,80.53,-52.68,6.8,11.24,24.0,28.2,0.81
2026-06-29T12:00:07,1001,unknown,29.55,-121.5,14.0,-9.69,1.5,12.8,0.5
2026-06-29T12:00:07,1012,unknown,94.21,-31.78,10.1,7.05,-5.1,12.3,0.5
2026-06-29T12:00:07,1004,bicycle,46.83,-166.06,4.12,-9.01,21.7,17.4,0.5
2026-06-29T12:00:08,1004,unknown,34.58,50.93,1.99,14.43,6.4,33.4,0.95
2026-06-29T12:00:08,1012,person,116.49,-115.72,18.88,-7.04,-10.7,19.7,0.56
2026-06-29T12:00:08,1001,bicycle,38.67,38.24,5.34,-3.44,8.1,14.9,0.5
2026-06-29T12:00:08,1011,bicycle,1.7,153.21,6.15,6.58,14.7,26.1,0.75
2026-06-29T12:00:08,1007,person,9.79,59.13,-0.09,-5.58,18.9,27.4,0.78
2026-06-29T12:00:08,1003,person,38.15,-32.98,2.07,-6.13,-9.9,19.4,0.55
2026-06-29T12:00:08,1008,unknown,81.76,145.01,8.47,-5.97,6.9,8.0,0.5
2026-06-29T12:00:08,1010,person,52.44,28.79,9.64,-1.05,2.7,13.8,0.5
2026-06-29T12:00:09,1012,person,114.31,-95.45,-0.69,9.2,-9.1,9.2,0.5
2026-06-29T12:00:09,1003,unknown,73.94,96.66,3.66,11.58,8.0,27.4,0.78
2026-06-29T12:00:09,1002,person,48.86,-126.87,10.63,11.78,19.4,31.9,0.91
2026-06-29T12:00:09,1005,drone,27.43,109.48,10.88,-1.06,7.3,32.8,0.94
2026-06-29T12:00:09,1006,person,17.3,-12.73,5.93,1.77,-2.3,28.4,0.81
2026-06-29T12:00:10,1010,unknown,89.62,-9.12,-2.22,-7.58,10.5,28.7,0.82
2026-06-29T12:00:10,1009,vehicle,75.77,-81.14,-7.68,-6.43,-4.1,16.6,0.5
2026-06-29T12:00:10,1007,vehicle,17.9,-96.75,10.82,6.19,-12.4,19.0,0.54
2026-06-29T12:00:10,1011,vehicle,50.77,-105.54,2.6,12.15,8.4,26.8,0.77
2026-06-29T12:00:10,1008,unknown,92.22,-43.06,-9.82,-4.45,15.1,31.0,0.89
2026-06-29T12:00:11,1007,vehicle,47.58,60.79,13.94,6.73,18.6,32.8,0.94
2026-06-29T12:00:11,1009,unknown,64.79,146.49,7.76,4.89,-11.6,19.6,0.56
2026-06-29T12:00:11,1011,unknown,23.03,-86.34,-0.18,-1.36,-1.5,31.8,0.91
2026-06-29T12:00:11,1004,person,114.22,-28.24,15.05,-0.89,15.0,9.4,0.5
2026-06-29T12:00:11,1008,unknown,28.07,-155.3,18.72,-13.79,-13.8,14.7,0.5
2026-06-29T12:00:11,1002,unknown,75.13,-94.12,4.21,-11.57,22.9,20.6,0.59
2026-06-29T12:00:11,1003,person,45.21,38.12,18.91,6.55,16.1,12.4,0.5
2026-06-29T12:00:11,1010,person,70.07,154.4,7.27,12.24,0.0,33.4,0.95
2026-06-29T12:00:12,1002,person,93.04,126.11,8.01,-11.37,24.4,29.1,0.83
2026-06-29T12:00:12,1010,person,52.26,-46.59,5.18,-4.76,19.0,30.2,0.86
2026-06-29T12:00:12,1004,person,115.35,48.81,14.86,6.22,2.4,27.8,0.79
2026-06-29T12:00:13,1005,vehicle,39.69,-91.62,18.04,-6.63,3.0,28.3,0.81
2026-06-29T12:00:13,1010,vehicle,80.68,-58.9,4.83,-5.25,4.5,17.6,0.5
2026-06-29T12:00:13,1009,person,34.64,34.62,16.4,1.67,5.7,13.2,0.5
2026-06-29T12:00:13,1008,person,49.66,19.86,-2.79,-0.72,13.5,20.1,0.57
2026-06-29T12:00:13,1011,person,36.37,-34.42,-2.7,4.92,-0.2,22.9,0.65
2026-06-29T12:00:13,1004,person,119.6,18.14,0.55,-1.39,-2.7,14.2,0.5
2026-06-29T12:00:13,1006,bicycle,38.89,87.44,18.53,5.7,-7.3,27.9,0.8
2026-06-29T12:00:14,1012,unknown,100.17,-73.35,0.83,-5.93,13.3,11.4,0.5
2026-06-29T12:00:14,1010,person,7.96,-74.83,18.32,4.14,15.1,10.8,0.5
2026-06-29T12:00:14,1009,person,35.19,-7.66,0.22,13.96,-4.9,31.3,0.89
2026-06-29T12:00:14,1005,person,9.24,-2.97,7.31,5.59,-8.9,29.9,0.85
2026-06-29T12:00:15,1002,drone,73.35,104.67,-3.23,0.68,3.0,20.0,0.57
2026-06-29T12:00:15,1004,unknown,118.82,-70.06,8.63,3.29,14.6,33.6,0.96
2026-06-29T12:00:15,1012,person,26.51,57.75,-5.29,-9.79,-12.0,8.1,0.5
2026-06-29T12:00:15,1009,vehicle,71.87,-75.15,-3.06,6.21,13.1,20.3,0.58
2026-06-29T12:00:16,1004,person,19.16,-84.37,-5.73,-13.21,16.7,24.1,0.69
2026-06-29T12:00:16,1005,unknown,110.66,-21.9,4.06,-5.88,1.1,15.4,0.5
2026-06-29T12:00:16,1010,vehicle,53.37,35.29,16.68,7.04,9.1,8.7,0.5
2026-06-29T12:00:16,1012,person,81.4,129.79,7.61,-14.38,15.6,30.2,0.86
2026-06-29T12:00:16,1007,vehicle,91.93,-116.93,5.57,-1.73,-3.9,34.9,0.99
2026-06-29T12:00:16,1001,person,97.99,168.86,4.1,-2.75,-2.2,10.8,0.5
2026-06-29T12:00:16,1011,person,50.28,-1.63,9.88,-2.99,15.4,9.0,0.5
2026-06-29T12:00:17,1006,person,116.47,-34.5,5.44,14.64,11.3,22.7,0.65
2026-06-29T12:00:17,1005,person,23.73,-49.76,12.69,3.76,15.4,13.5,0.5
2026-06-29T12:00:18,1003,unknown,73.65,-93.85,-5.25,1.53,7.1,10.5,0.5
2026-06-29T12:00:18,1005,unknown,109.68,-13.88,-6.48,9.96,4.9,27.3,0.78
2026-06-29T12:00:18,1008,vehicle,33.9,120.5,19.41,-7.69,7.1,18.4,0.53
2026-06-29T12:00:18,1010,unknown,61.73,136.56,15.92,-6.71,16.6,19.2,0.55
2026-06-29T12:00:18,1002,unknown,61.67,115.4,-1.51,-6.04,8.5,35.0,0.99
2026-06-29T12:00:18,1001,vehicle,19.11,13.89,0.35,1.56,6.7,20.3,0.58
2026-06-29T12:00:19,1004,person,93.4,-164.29,12.34,6.16,17.5,18.4,0.53
2026-06-29T12:00:19,1012,bicycle,98.76,173.09,4.86,-13.89,5.1,23.9,0.68
2026-06-29T12:00:19,1010,unknown,105.09,-21.49,5.78,-1.29,13.9,19.1,0.55
2026-06-29T12:00:19,1007,bicycle,19.79,-10.98,19.08,-4.84,12.7,25.5,0.73
2026-06-29T12:00:20,1006,unknown,5.75,-155.37,8.93,12.63,24.9,28.2,0.81
2026-06-29T12:00:20,1011,person,13.17,48.15,16.18,-1.69,12.8,32.4,0.93
2026-06-29T12:00:20,1009,person,95.84,-74.39,1.25,-10.63,6.2,23.3,0.67
2026-06-29T12:00:20,1007,drone,21.64,-151.57,16.13,3.59,-5.4,32.6,0.93
2026-06-29T12:00:20,1012,person,56.15,-88.57,-2.34,-14.72,17.2,32.3,0.92
2026-06-29T12:00:20,1008,bicycle,20.22,-20.98,0.37,2.63,10.6,19.5,0.56
2026-06-29T12:00:20,1010,person,101.67,-108.28,1.54,-0.5,-5.5,23.4,0.67
2026-06-29T12:00:20,1004,vehicle,119.13,-73.72,19.34,4.75,-4.0,23.3,0.67
2026-06-29T12:00:21,1012,vehicle,43.25,49.18,8.63,5.33,13.8,25.8,0.74
2026-06-29T12:00:21,1001,unknown,75.95,145.23,9.39,-5.73,2.6,23.6,0.67
2026-06-29T12:00:21,1010,bicycle,12.18,-73.76,12.42,-9.73,-9.7,22.6,0.65
2026-06-29T12:00:21,1008,unknown,64.41,148.86,14.91,-7.29,18.0,21.0,0.6
2026-06-29T12:00:21,1005,unknown,89.97,-58.06,-6.54,13.89,-9.4,34.1,0.97
2026-06-29T12:00:21,1007,unknown,87.32,172.78,19.02,9.14,-0.4,29.3,0.84
2026-06-29T12:00:21,1002,person,65.08,-16.28,10.18,5.17,8.4,30.2,0.86
2026-06-29T12:00:22,1002,person,106.28,22.11,17.46,-8.36,-12.5,30.2,0.86
2026-06-29T12:00:22,1011,unknown,37.31,-33.01,-5.81,13.39,-2.8,21.3,0.61
2026-06-29T12:00:22,1004,person,106.64,-131.16,3.61,5.11,14.7,33.5,0.96
2026-06-29T12:00:22,1008,person,89.46,-124.37,2.45,-12.03,4.6,19.0,0.54
2026-06-29T12:00:23,1001,person,29.48,-49.43,19.43,-3.98,21.1,25.4,0.73
2026-06-29T12:00:23,1006,person,34.19,168.55,18.47,9.73,-11.3,13.7,0.5
2026-06-29T12:00:23,1004,vehicle,116.57,-161.79,0.01,14.66,16.5,13.5,0.5
2026-06-29T12:00:23,1008,unknown,67.17,31.1,14.39,-8.01,16.0,29.3,0.84
2026-06-29T12:00:24,1001,person,79.84,-170.72,-9.55,8.7,-5.5,16.7,0.5
2026-06-29T12:00:24,1005,person,7.71,87.02,5.78,7.37,4.0,29.0,0.83
2026-06-29T12:00:24,1003,vehicle,14.42,1.38,18.36,-13.7,16.3,31.4,0.9
2026-06-29T12:00:24,1010,vehicle,55.78,167.05,-8.18,-0.63,1.1,26.5,0.76
2026-06-29T12:00:24,1011,vehicle,109.3,-153.54,-7.58,3.25,-12.4,15.4,0.5
2026-06-29T12:00:24,1007,vehicle,66.48,-62.93,19.84,0.92,3.1,24.3,0.69
2026-06-29T12:00:25,1012,unknown,78.63,96.83,11.63,-8.55,3.1,14.2,0.5
2026-06-29T12:00:25,1002,person,55.24,-30.24,-7.15,-2.2,11.6,18.1,0.52
2026-06-29T12:00:26,1011,person,11.62,-24.52,12.34,-3.82,-9.8,9.6,0.5
2026-06-29T12:00:26,1008,unknown,68.06,61.2,2.32,11.21,22.6,19.4,0.55
2026-06-29T12:00:26,1002,unknown,7.6,-76.45,-0.63,-11.89,5.3,12.2,0.5
2026-06-29T12:00:27,1004,person,34.51,-98.58,2.87,1.83,15.7,24.8,0.71
2026-06-29T12:00:27,1002,bicycle,67.47,39.24,9.73,5.8,-13.8,15.4,0.5
2026-06-29T12:00:27,1006,drone,110.7,-53.63,-4.56,-10.7,11.3,9.9,0.5
2026-06-29T12:00:27,1009,bicycle,116.66,-146.97,5.91,-3.71,3.1,12.3,0.5
2026-06-29T12:00:27,1010,person,39.94,158.91,7.89,11.5,-8.8,28.4,0.81
2026-06-29T12:00:28,1011,person,79.94,-5.16,3.26,-6.8,15.2,11.1,0.5
2026-06-29T12:00:28,1002,person,35.06,64.26,4.6,5.01,-13.2,18.7,0.53
2026-06-29T12:00:29,1001,person,31.78,-61.88,-9.77,7.41,-8.0,18.3,0.52
2026-06-29T12:00:29,1012,bicycle,60.78,120.01,14.19,-12.84,19.5,9.1,0.5
2026-06-29T12:00:29,1004,person,110.66,130.36,7.27,2.2,13.4,19.3,0.55
2026-06-29T12:00:29,1005,person,3.97,-63.08,14.04,3.54,18.3,32.8,0.94
2026-06-29T12:00:29,1010,person,101.57,-92.41,7.67,0.72,0.8,16.4,0.5
2026-06-29T12:00:29,1007,person,40.97,-119.47,5.31,-11.58,5.4,32.5,0.93
2026-06-29T12:00:30,1006,person,31.83,-117.54,-5.41,7.77,-12.0,33.7,0.96
2026-06-29T12:00:30,1011,vehicle,56.48,22.94,7.38,5.43,20.3,25.4,0.73
2026-06-29T12:00:30,1003,unknown,39.8,169.55,-0.52,-1.81,3.8,25.0,0.71
2026-06-29T12:00:30,1004,drone,71.58,-53.3,-7.77,-1.15,-13.5,18.0,0.51
2026-06-29T12:00:31,1002,person,70.27,163.52,12.17,-13.77,21.4,23.4,0.67
2026-06-29T12:00:31,1011,person,73.19,0.49,18.73,-1.48,17.4,30.6,0.87
2026-06-29T12:00:31,1012,unknown,11.49,52.61,-8.83,6.23,24.6,22.1,0.63
2026-06-29T12:00:31,1009,vehicle,44.62,150.46,1.62,8.23,12.2,9.4,0.5
2026-06-29T12:00:32,1011,person,31.36,126.56,18.93,3.08,-9.0,10.2,0.5
2026-06-29T12:00:32,1006,bicycle,110.13,-68.32,9.68,4.86,-9.8,27.1,0.77
2026-06-29T12:00:32,1002,person,67.73,51.66,-0.15,-11.17,13.1,33.6,0.96
2026-06-29T12:00:32,1012,unknown,109.63,-146.36,10.11,0.25,-14.3,16.3,0.5
2026-06-29T12:00:32,1010,unknown,42.0,95.82,-4.24,15.0,-8.8,16.0,0.5
2026-06-29T12:00:32,1005,drone,61.66,14.32,12.16,0.8,11.5,31.7,0.91
2026-06-29T12:00:32,1009,vehicle,72.27,-124.47,-4.57,5.79,10.0,32.4,0.93
2026-06-29T12:00:33,1008,person,90.2,-18.39,6.02,-5.72,17.3,20.7,0.59
2026-06-29T12:00:33,1001,unknown,45.09,160.97,19.53,-1.15,-3.7,18.3,0.52
2026-06-29T12:00:33,1007,vehicle,116.0,114.08,14.04,-10.85,-5.0,25.3,0.72
2026-06-29T12:00:33,1006,unknown,67.21,-143.07,15.38,10.53,-3.6,28.6,0.82
2026-06-29T12:00:33,1004,person,108.78,-126.95,3.12,13.39,-6.1,20.2,0.58
2026-06-29T12:00:33,1012,person,4.66,-160.83,5.06,-7.93,24.8,18.1,0.52
2026-06-29T12:00:33,1005,person,111.8,122.1,9.5,8.74,-9.5,15.7,0.5
2026-06-29T12:00:34,1008,person,19.22,158.48,8.27,-2.3,16.0,14.4,0.5
2026-06-29T12:00:34,1003,person,29.76,50.02,8.68,-13.12,18.5,21.5,0.61
2026-06-29T12:00:34,1012,vehicle,76.39,27.02,11.56,-6.26,-14.9,17.5,0.5
2026-06-29T12:00:34,1010,vehicle,23.7,60.56,5.7,-4.18,23.1,22.7,0.65
2026-06-29T12:00:34,1001,drone,61.65,-172.68,16.2,-13.69,0.5,18.1,0.52
2026-06-29T12:00:34,1009,bicycle,43.82,-155.68,-2.77,4.71,-10.9,23.7,0.68
2026-06-29T12:00:34,1007,drone,17.31,-53.17,0.16,4.28,18.2,26.5,0.76
2026-06-29T12:00:34,1011,unknown,58.21,-114.38,-5.95,6.48,22.7,9.0,0.5
2026-06-29T12:00:35,1001,person,38.24,-36.64,14.46,-0.8,-13.5,25.5,0.73
2026-06-29T12:00:35,1004,person,103.66,-162.79,9.67,-6.8,17.0,19.8,0.57
2026-06-29T12:00:35,1012,person,53.61,164.33,0.17,-9.4,12.7,17.9,0.51
2026-06-29T12:00:36,1009,vehicle,39.56,-151.18,9.83,-5.81,9.1,19.5,0.56
2026-06-29T12:00:36,1005,bicycle,43.16,-164.75,16.1,-4.42,24.9,15.4,0.5
2026-06-29T12:00:36,1002,unknown,113.83,-152.99,9.13,-4.1,17.0,26.3,0.75
