timestamp,track_id,object_class,range_m,azimuth_deg,elevation_deg,ambient_temp_c,surface_temp_c,thermal_contrast_c,heat_signature_area_m2,emissivity_estimate,image_x_px,image_y_px,bbox_width_px,bbox_height_px,noise_equivalent_temp_diff_mk,occlusion,confidence
2026-06-29T12:00:00,3003,person,21.0,24.73,-4.69,21.95,33.58,11.63,0.538,0.968,582,269,8,10,77.1,none,0.86
2026-06-29T12:00:00,3007,person,26.16,-122.74,8.86,21.95,30.24,8.29,0.809,0.946,162,230,10,10,86.9,partial,0.63
2026-06-29T12:00:00,3004,person,9.53,-8.6,-1.71,21.95,35.66,13.71,0.988,0.933,487,260,36,63,72.4,partial,0.82
2026-06-29T12:00:01,3006,person,44.03,177.66,16.31,22.1,34.42,12.32,1.195,0.967,1017,209,9,15,75.6,none,0.82
2026-06-29T12:00:01,3014,unknown,52.62,37.38,10.35,22.1,21.04,-1.06,1.712,0.754,618,226,11,12,41.2,none,0.58
2026-06-29T12:00:01,3008,unknown,68.7,63.31,7.64,22.1,37.39,15.29,0.471,0.954,692,234,4,6,35.3,none,0.89
2026-06-29T12:00:01,3011,person,7.62,-23.31,-2.11,22.1,31.01,8.91,1.065,0.989,445,262,48,36,61.6,heavy,0.6
2026-06-29T12:00:01,3013,unknown,67.85,103.82,2.89,22.1,21.95,-0.15,2.403,0.625,807,247,12,14,57.1,none,0.53
2026-06-29T12:00:01,3010,vehicle,29.25,-132.58,-3.63,22.1,53.12,31.02,4.074,0.819,134,266,48,57,50.1,none,0.84
2026-06-29T12:00:01,3009,animal,45.78,-49.68,-6.86,22.1,34.38,12.28,0.302,0.954,370,275,4,5,82.5,none,0.98
2026-06-29T12:00:02,3004,person,87.09,148.8,-3.2,21.98,34.51,12.53,0.635,0.968,935,265,4,5,57.1,none,0.84
2026-06-29T12:00:02,3010,unknown,46.18,-100.9,-2.84,21.98,24.55,2.57,0.485,0.979,224,264,4,4,35.8,none,0.64
2026-06-29T12:00:02,3006,person,49.38,-152.2,-4.86,21.98,31.45,9.47,1.087,0.954,79,269,7,7,79.7,none,0.84
2026-06-29T12:00:02,3009,person,49.23,157.35,24.27,21.98,31.91,9.93,0.84,0.947,959,186,5,4,46.3,none,0.78
2026-06-29T12:00:03,3014,unknown,63.12,-81.71,4.47,21.84,18.84,-3.0,2.891,0.714,279,243,16,24,77.3,none,0.54
2026-06-29T12:00:03,3013,vehicle,26.31,148.91,8.09,21.84,48.47,26.63,3.339,0.809,935,232,44,58,59.5,heavy,0.62
2026-06-29T12:00:03,3003,person,62.43,30.17,0.31,21.84,32.1,10.26,0.986,0.951,597,255,5,5,58.4,none,0.84
2026-06-29T12:00:04,3002,drone,29.86,75.77,20.89,22.03,49.33,27.3,0.152,0.799,727,196,4,4,67.5,none,0.92
2026-06-29T12:00:04,3001,animal,31.31,60.21,23.11,22.03,32.92,10.89,0.46,0.986,683,190,5,4,56.1,none,0.82
2026-06-29T12:00:04,3004,unknown,48.24,-51.17,23.77,22.03,33.44,11.41,0.205,0.607,366,188,4,6,65.7,partial,0.76
2026-06-29T12:00:04,3009,unknown,30.54,-97.58,21.16,22.03,23.33,1.3,0.08,0.606,234,195,4,6,70.1,none,0.63
2026-06-29T12:00:04,3005,animal,57.16,28.06,6.32,22.03,29.59,7.56,0.6,0.947,591,238,4,6,67.5,none,0.83
2026-06-29T12:00:04,3014,unknown,48.43,-139.44,9.33,22.03,27.63,5.6,0.803,0.705,115,229,5,4,79.7,none,0.64
2026-06-29T12:00:04,3003,vehicle,62.95,-170.44,-1.52,22.03,36.81,14.78,1.591,0.889,27,260,8,9,35.8,none,0.77
2026-06-29T12:00:04,3013,vehicle,38.98,-28.48,2.87,22.03,47.34,25.31,5.621,0.858,430,247,50,67,43.8,none,0.94
2026-06-29T12:00:05,3005,animal,26.67,35.65,21.92,22.12,31.47,9.35,0.446,0.963,613,193,5,8,61.9,none,0.89
2026-06-29T12:00:05,3015,drone,29.99,-81.06,-7.27,22.12,51.1,28.98,0.218,0.856,281,276,4,4,81.2,partial,0.84
2026-06-29T12:00:05,3004,vehicle,82.68,24.69,-3.24,22.12,50.17,28.05,7.407,0.81,582,265,31,53,65.2,none,0.82
2026-06-29T12:00:06,3001,unknown,49.86,7.66,16.86,21.95,18.95,-3.0,2.689,0.79,533,208,18,26,43.8,partial,0.39
2026-06-29T12:00:06,3013,animal,83.08,-167.59,0.72,21.95,26.28,4.33,0.194,0.942,35,253,4,6,73.6,none,0.53
2026-06-29T12:00:06,3002,animal,56.88,-87.78,-1.72,21.95,34.24,12.29,0.378,0.98,262,260,4,4,64.0,partial,0.7
2026-06-29T12:00:07,3002,animal,61.56,-111.07,15.29,22.23,30.4,8.17,0.39,0.978,196,212,4,4,52.2,none,0.67
2026-06-29T12:00:07,3011,person,52.33,-94.15,20.36,22.23,31.31,9.08,1.162,0.936,244,198,7,11,44.7,none,0.75
2026-06-29T12:00:07,3008,unknown,28.62,5.2,24.05,22.23,33.83,11.6,0.482,0.63,526,187,5,7,37.5,none,0.84
2026-06-29T12:00:07,3007,person,31.54,-159.6,22.74,22.23,32.29,10.06,0.961,0.944,58,191,10,16,37.0,none,0.82
2026-06-29T12:00:07,3013,unknown,84.03,167.36,-1.19,22.23,22.54,0.31,1.148,0.924,988,259,4,6,86.7,none,0.4
2026-06-29T12:00:08,3012,animal,49.96,-170.93,7.35,21.97,28.99,7.02,0.244,0.983,25,235,4,6,46.5,none,0.78
2026-06-29T12:00:08,3006,person,74.02,-74.78,5.41,21.97,31.86,9.89,0.663,0.932,299,240,4,4,40.1,none,0.82
2026-06-29T12:00:08,3007,bicycle,82.29,-164.52,23.85,21.97,22.72,0.75,0.747,0.821,44,188,4,6,83.6,none,0.52
2026-06-29T12:00:08,3014,unknown,77.99,37.17,13.28,21.97,24.71,2.74,2.487,0.942,617,218,11,19,42.9,none,0.53
2026-06-29T12:00:08,3011,unknown,15.11,82.73,12.67,21.97,21.75,-0.22,0.302,0.687,747,219,6,10,63.8,heavy,0.35
2026-06-29T12:00:08,3008,person,65.26,126.72,12.49,21.97,34.1,12.13,0.852,0.945,872,220,4,6,56.9,none,0.79
2026-06-29T12:00:09,3006,animal,66.93,-30.81,15.66,21.87,32.23,10.36,0.244,0.978,424,211,4,4,35.6,none,0.75
2026-06-29T12:00:09,3010,unknown,66.51,-23.39,10.93,21.87,18.87,-3.0,1.277,0.942,445,224,6,8,55.0,partial,0.4
2026-06-29T12:00:09,3013,vehicle,86.55,-159.39,20.9,21.87,29.71,7.84,7.218,0.834,58,196,29,34,48.1,none,0.73
2026-06-29T12:00:09,3001,drone,15.15,134.38,8.22,21.87,39.47,17.6,0.084,0.741,894,232,4,4,42.9,none,0.94
2026-06-29T12:00:10,3001,person,33.02,-101.62,12.94,22.13,32.4,10.27,0.601,0.954,222,219,6,9,53.9,none,0.82
2026-06-29T12:00:10,3010,person,85.21,-119.08,15.08,22.13,29.48,7.35,0.517,0.967,173,213,4,5,84.7,none,0.63
2026-06-29T12:00:10,3009,person,33.14,94.22,5.83,22.13,30.62,8.49,1.07,0.958,780,239,11,14,42.4,none,0.83
2026-06-29T12:00:10,3013,drone,50.24,7.96,12.89,22.13,44.06,21.93,0.193,0.745,534,219,4,4,59.6,none,0.96
2026-06-29T12:00:10,3005,animal,82.04,51.03,-1.32,22.13,26.6,4.47,0.76,0.935,657,259,4,4,46.6,partial,0.47
2026-06-29T12:00:10,3014,person,27.0,-122.68,21.3,22.13,33.24,11.11,0.662,0.931,163,195,8,9,77.4,partial,0.72
2026-06-29T12:00:10,3008,bicycle,48.71,-117.63,21.05,22.13,22.19,0.06,1.046,0.897,177,196,7,6,58.4,none,0.63
2026-06-29T12:00:10,3007,drone,59.97,-164.54,-1.31,22.13,37.97,15.84,0.218,0.822,43,259,4,4,55.0,none,0.88
2026-06-29T12:00:10,3012,bicycle,18.23,56.18,-7.55,22.13,25.19,3.06,1.198,0.713,671,277,23,35,88.6,none,0.56
2026-06-29T12:00:11,3006,vehicle,12.89,-63.87,17.98,21.84,39.48,17.64,5.236,0.914,330,204,142,182,67.8,partial,0.75
2026-06-29T12:00:11,3001,person,36.21,-79.77,-0.61,21.84,33.62,11.78,0.257,0.964,285,257,4,6,39.6,partial,0.74
2026-06-29T12:00:11,3009,bicycle,55.1,1.18,1.72,21.84,18.84,-3.0,0.507,0.759,515,251,4,6,53.8,none,0.57
2026-06-29T12:00:11,3005,animal,62.71,-113.18,-7.69,21.84,27.2,5.36,0.242,0.934,190,277,4,6,41.0,heavy,0.4
2026-06-29T12:00:11,3003,vehicle,27.86,-157.47,17.84,21.84,37.15,15.31,5.383,0.867,64,205,67,87,77.9,none,0.83
2026-06-29T12:00:11,3007,person,22.4,-115.65,0.56,21.84,32.14,10.3,0.585,0.981,183,254,9,13,81.2,heavy,0.5
2026-06-29T12:00:11,3014,bicycle,41.99,-63.5,10.0,21.84,22.68,0.84,1.138,0.855,331,227,9,11,45.2,none,0.51
2026-06-29T12:00:11,3008,bicycle,20.13,28.66,8.43,21.84,18.84,-3.0,0.798,0.72,593,232,13,10,56.8,partial,0.38
2026-06-29T12:00:12,3006,animal,27.73,-13.07,20.37,22.25,30.32,8.07,0.591,0.923,474,198,7,12,72.9,none,0.71
2026-06-29T12:00:12,3004,unknown,25.1,4.04,1.42,22.25,24.61,2.36,2.038,0.945,523,251,28,22,55.5,partial,0.55
2026-06-29T12:00:12,3015,unknown,36.11,63.27,10.85,22.25,19.25,-3.0,2.572,0.664,691,225,24,18,44.5,none,0.59
2026-06-29T12:00:13,3008,person,37.72,18.96,-1.4,22.09,32.7,10.61,1.036,0.96,565,259,9,13,82.1,none,0.85
2026-06-29T12:00:13,3001,person,78.28,131.54,-1.7,22.09,31.77,9.68,0.869,0.942,886,260,4,5,79.0,partial,0.63
2026-06-29T12:00:13,3009,person,6.05,-179.45,1.0,22.09,33.64,11.55,1.095,0.964,1,253,63,104,46.5,none,0.9
2026-06-29T12:00:13,3007,vehicle,65.92,-23.71,-0.3,22.09,32.28,10.19,7.249,0.931,444,256,38,52,68.5,none,0.69
2026-06-29T12:00:13,3002,person,82.23,10.38,15.61,22.09,32.76,10.67,0.826,0.988,541,211,4,4,51.8,none,0.8
2026-06-29T12:00:13,3011,person,5.97,30.45,2.21,22.09,34.23,12.14,0.367,0.984,598,249,21,32,38.6,none,0.84
2026-06-29T12:00:14,3008,person,25.24,-71.65,-1.3,22.26,35.78,13.52,0.334,0.948,308,259,4,4,65.3,none,0.97
2026-06-29T12:00:14,3010,person,85.79,-134.48,3.83,22.26,32.2,9.94,1.122,0.982,129,245,4,6,44.7,none,0.73
2026-06-29T12:00:14,3003,person,54.06,-164.49,11.13,22.26,33.42,11.16,0.772,0.946,44,224,4,5,76.3,none,0.86
2026-06-29T12:00:14,3006,vehicle,46.65,121.18,25.0,22.26,40.28,18.02,2.918,0.921,856,184,21,32,64.6,none,0.94
2026-06-29T12:00:15,3004,unknown,72.42,-13.85,15.69,22.28,19.28,-3.0,2.254,0.712,472,211,10,15,64.0,partial,0.36
2026-06-29T12:00:15,3010,person,16.89,82.08,0.65,22.28,32.81,10.53,0.528,0.958,745,254,10,16,40.6,partial,0.78
2026-06-29T12:00:16,3015,vehicle,12.48,-98.71,10.0,22.08,41.78,19.7,7.994,0.9,231,227,224,220,69.2,none,0.97
